Dispatching_base_num,Pickup_date,Affiliated_base_num,locationID
B02617,2015-05-17 09:47:00,B02617,141
B02617,2015-05-17 09:47:00,B02617,65
B02617,2015-05-17 09:47:00,B02617,100
B02617,2015-05-17 09:47:00,B02774,80
B02617,2015-05-17 09:47:00,B02617,90
B02617,2015-05-17 09:47:00,B02617,228
B02617,2015-05-17 09:47:00,B02617,7
B02617,2015-05-17 09:47:00,B02764,74
B02617,2015-05-17 09:47:00,B02617,249
B02617,2015-05-17 09:47:00,B02764,22
B02617,2015-05-17 09:48:00,B02617,263
B02617,2015-05-17 09:48:00,B02617,61
B02617,2015-05-17 09:49:00,B02617,229
B02617,2015-05-17 09:49:00,B02617,164
B02617,2015-05-17 09:49:00,B02617,237
B02617,2015-05-17 09:49:00,B02617,142
B02617,2015-05-17 09:49:00,B02617,188
B02617,2015-05-17 09:49:00,B02617,237
B02617,2015-05-17 09:49:00,B02617,224
B02617,2015-05-17 09:49:00,B02617,238
B02617,2015-05-17 09:49:00,B02682,242
B02617,2015-05-17 09:50:00,B02617,95
B02617,2015-05-17 09:50:00,B02617,141
B02617,2015-05-17 09:50:00,B02617,236
B02617,2015-05-17 09:50:00,B02617,233
B02617,2015-05-17 09:50:00,B02617,230
B02617,2015-05-17 09:50:00,B02617,162
B02617,2015-05-17 09:50:00,B02764,234
B02617,2015-05-17 09:50:00,B02617,161
B02617,2015-05-17 09:51:00,B02617,87
B02617,2015-05-17 09:51:00,B02617,246
B02617,2015-05-17 09:51:00,B02617,65
B02617,2015-05-17 09:51:00,B02764,249
B02617,2015-05-17 09:52:00,B02617,186
B02617,2015-05-17 09:52:00,B02617,48
B02617,2015-05-17 09:52:00,B02764,158
B02617,2015-05-17 09:52:00,B02617,137
B02617,2015-05-17 09:52:00,B02617,135
B02617,2015-05-17 09:53:00,B02617,145
B02598,2015-01-18 09:34:41,B02598,142
B02598,2015-01-18 11:58:24,B02598,90
B02598,2015-01-18 13:20:51,B02598,151
B02598,2015-01-18 11:58:21,B02617,236
B02598,2015-01-18 19:21:15,B02598,148
B02598,2015-01-18 00:46:12,B02598,114
B02598,2015-01-18 08:11:18,B02598,129
B02598,2015-01-18 22:33:48,B02598,231
B02598,2015-01-18 10:55:37,B02598,4
B02598,2015-01-18 12:46:43,,263
B02598,2015-01-18 14:55:49,B02764,211
B02598,2015-01-18 13:15:52,B02598,90
B02598,2015-01-18 22:30:40,B02764,142
B02598,2015-01-18 11:37:48,,36
B02598,2015-01-18 03:14:32,B02598,79
B02598,2015-01-18 18:40:56,B02598,249
B02598,2015-01-18 09:38:31,B02598,142
B02598,2015-01-18 19:44:34,B02598,238
B02598,2015-01-18 13:13:42,B02598,170
B02598,2015-01-18 09:25:38,B02598,249
B02598,2015-01-18 17:18:56,B02764,107
B02598,2015-01-18 16:16:37,B02598,144
B02598,2015-01-18 18:30:19,B02598,114
B02598,2015-01-18 03:19:26,B02789,148
B02598,2015-01-18 07:01:35,B02764,262
B02598,2015-01-18 11:02:38,B02617,246
B02598,2015-01-18 19:27:21,,90
B02598,2015-01-18 00:45:10,B02617,141
B02598,2015-01-18 01:41:50,,228
B02598,2015-01-18 18:18:13,B02598,79
B02598,2015-01-18 00:00:50,B02764,231
B02598,2015-01-18 20:25:10,B02598,233
B02598,2015-01-18 14:48:42,B02598,37
B02598,2015-01-18 11:45:43,B02598,25
B02598,2015-05-18 08:49:23,,68
